country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,2,9,18,4,23,24,29,31,33,38,44,42,40,40,49,41,43
Angola,,,,,,,,,,,,,,,,26,26,30,35,45,41
Albania,,90,93,93,96,97,94,95,98,98,98,99,99,99,98,98,98,98,96,96,
Andorra,,,,,,,,80,86,82,86,82,89,91,90,88,90,94,95,94,93
UAE,92,92,92,92,92,94,93,93,92,93,94,95,96,98,99,99,98,97,95,94,92
Argentina,56,56,83,80,93,88,91,84,88,96,94,91,89,83,96,87,88,89,99,84,71
Armenia,94,96,95,93,94,92,85,93,94,96,97,98,97,97,97,97,97,97,96,96,
Antigua and Barbuda,,,,,,46,68,78,83,94,92,89,90,87,99,84,68,95,95,80,78
Australia,,,,,85,85,87,89,80,82,88,90,91,92,93,93,94,93,93,94,94
Austria,35,34,39,46,47,54,61,56,62,64,69,73,78,82,87,88,89,84,84,84,84
Azerbaijan,,65,67,66,67,67,68,75,79,83,89,92,95,98,98,98,98,97,96,97,79
Burundi,,,,,,,,,,,,,,51,60,65,72,75,77,80,83
Belgium,,,,,,,78,78,81,83,83,83,85,85,85,85,85,85,85,85,
Burkina Faso,,,,,,,,,,,,,,,17,50,59,65,71,71,71
Bangladesh,,,,,,,,,,,,,41,82,89,90,92,93,93,93,93
Bulgaria,83,85,79,89,91,92,93,94,94,93,96,94,94,94,89,87,88,92,87,95,84
Bahrain,92,99,97,99,99,99,99,99,97,99,98,98,99,99,99,99,99,99,99,99,99
Bahamas,,,,,95,88,88,84,80,76,78,79,73,69,72,76,74,76,69,83,
Bosnia and Herzegovina,74,86,90,85,88,90,93,95,92,88,91,88,94,93,92,88,78,80,76,76,
Belarus,92,97,98,98,98,98,95,99,99,99,99,99,97,99,98,99,98,98,98,98,98
Belize,,,,,,87,92,89,90,92,91,98,93,92,92,95,96,88,91,95,87
Bolivia,,,,,,,,,,,,,,,,,,,38,44,46
Brazil,95,95,80,74,68,61,55,49,56,55,53,71,70,69,89,80,77,76,76,54,44
Barbados,,12,41,71,99,98,94,96,97,97,96,94,90,89,91,89,87,77,74,77,78
Brunei,95,95,96,96,97,95,94,92,90,99,93,93,96,92,96,97,97,98,98,98,97
Bhutan,,,,,,,,,72,79,85,95,90,89,92,94,90,99,91,92,92
Botswana,,,,,,,,,,,,,,83,85,80,74,74,74,76,66
Canada,,,,,,,,,,,,,83,86,86,86,86,87,87,87,83
Switzerland,,,,,,71,71,71,83,83,83,86,86,86,87,87,87,90,90,90,93
Chile,,,,,96,96,95,95,89,89,84,77,74,78,88,89,87,90,93,91,83
China,,,,,,84,94,92,95,98,99,99,99,99,99,99,99,99,99,98,99
Cameroon,,,,,,,,,,,,,,,,,,,,,28
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,9,29
Colombia,84,83,93,70,70,73,85,93,70,71,74,76,80,72,88,86,87,89,88,89,88
Cape Verde,,,,,,,,,,,,99,94,89,79,95,92,85,88,91,86
Costa Rica,,,,,,,,,89,84,79,80,95,92,90,90,87,93,93,93,93
Cuba,,,,,,53,97,99,98,95,98,95,96,97,98,99,99,99,99,99,98
Cyprus,,,,,,,,93,89,88,88,88,88,88,88,88,88,88,88,88,
Czech Republic,98,98,98,98,98,98,98,98,98,98,98,98,99,99,96,99,93,90,84,84,
Germany,,,77,83,89,91,90,92,92,93,93,93,93,93,93,93,93,93,93,93,
Djibouti,,,,,,,,,,,,,82,82,82,82,81,81,81,81,60
Dominica,,62,99,99,99,99,99,95,95,95,95,94,94,91,89,94,92,81,81,92,90
Denmark,,87,92,88,88,91,91,88,87,85,85,86,87,86,84,80,85,88,90,90,90
Dominican Republic,,,,,,,,,,,,,,,,,,,31,60,55
Algeria,78,73,93,96,94,94,98,95,96,98,95,96,95,93,99,99,96,92,77,77,
Ecuador,,,,,,,,,,99,91,92,81,70,59,76,64,73,74,76,70
Egypt,97,99,96,97,96,97,97,97,96,96,97,97,92,96,93,92,96,94,94,94,94
Eritrea,,,,,,,,,,,,,,,,88,88,88,85,85,85
